student_code,first_name,last_name,gender,birth_date,city,study_hours_per_week,parent_education,snapshot_date
STU0055,Yann,Robert,M,2006-07-28,Toulouse,15,secondary,2025-02-01
STU0056,Gabriel,Petit,F,2006-02-27,Paris,2,higher,2025-02-01
STU0057,Manon,Leroy,M,2005-06-13,Bordeaux,2,primary,2025-02-01
STU0058,Oscar,Leroy,F,2006-04-17,Marseille,5,secondary,2025-02-01
STU0059,Gabriel,Martin,F,2006-02-13,Marseille,5,primary,2025-02-01
STU0060,Hugo,Lefebvre,M,2006-11-27,Nice,5,primary,2025-02-01
STU0061,Camille,Moreau,F,2006-08-18,Marseille,2,graduate,2025-02-01
STU0062,Karim,Laurent,M,2006-09-13,Nice,2,secondary,2025-02-01
STU0063,Hugo,Bernard,M,2005-01-02,Nice,15,secondary,2025-02-01
STU0064,Karim,Garcia,F,2006-11-12,Bordeaux,10,primary,2025-02-01
STU0065,Ines,Roux,M,2006-11-14,Toulouse,5,higher,2025-02-01
STU0066,Quentin,Richard,F,2006-03-07,Bordeaux,15,secondary,2025-02-01
STU0067,Sophie,Fournier,M,2006-02-20,Nice,10,higher,2025-02-01
STU0068,Ines,Durand,M,2006-08-17,Nice,10,graduate,2025-02-01
STU0069,Nadia,David,F,2006-06-08,Toulouse,10,secondary,2025-02-01
STU0070,Yann,Dubois,M,2006-06-12,Bordeaux,10,higher,2025-02-01
STU0071,Baptiste,Leroy,M,2005-08-19,Lyon,2,primary,2025-02-01
STU0072,Gabriel,Bertrand,F,2006-04-12,Toulouse,10,secondary,2025-02-01
STU0073,Lou,Bertrand,M,2005-09-07,Lyon,10,primary,2025-02-01
STU0074,Camille,Garcia,F,2005-06-30,Bordeaux,5,primary,2025-02-01
STU0075,Quentin,Leroy,F,2006-04-13,Lyon,10,higher,2025-02-01
STU0076,Nadia,Roux,M,2006-07-16,Toulouse,10,graduate,2025-02-01
STU0077,Nadia,Moreau,F,2006-10-15,Marseille,5,graduate,2025-02-01
STU0078,Tom,Leroy,M,2006-03-27,Paris,10,secondary,2025-02-01
STU0079,Hugo,Laurent,M,2006-07-08,Paris,2,secondary,2025-02-01
STU0080,Lou,Richard,F,2005-03-07,Toulouse,5,graduate,2025-02-01
